from,to,forecast,actual,index
2025-06-15 17:30:00+00:00,2025-06-15 18:00:00+00:00,108,131,moderate
2025-06-15 18:00:00+00:00,2025-06-15 18:30:00+00:00,126,134,moderate
2025-06-15 18:30:00+00:00,2025-06-15 19:00:00+00:00,135,138,moderate
2025-06-15 19:00:00+00:00,2025-06-15 19:30:00+00:00,139,141,moderate
2025-06-15 19:30:00+00:00,2025-06-15 20:00:00+00:00,140,139,moderate
2025-06-15 20:00:00+00:00,2025-06-15 20:30:00+00:00,130,139,moderate
2025-06-15 20:30:00+00:00,2025-06-15 21:00:00+00:00,141,134,moderate
2025-06-15 21:00:00+00:00,2025-06-15 21:30:00+00:00,139,126,moderate
2025-06-15 21:30:00+00:00,2025-06-15 22:00:00+00:00,127,113,moderate
2025-06-15 22:00:00+00:00,2025-06-15 22:30:00+00:00,114,100,moderate
2025-06-15 22:30:00+00:00,2025-06-15 23:00:00+00:00,110,88,low
2025-06-15 23:00:00+00:00,2025-06-15 23:30:00+00:00,105,82,low
2025-06-15 23:30:00+00:00,2025-06-16 00:00:00+00:00,90,74,low
2025-06-16 00:00:00+00:00,2025-06-16 00:30:00+00:00,76,79,low
2025-06-16 00:30:00+00:00,2025-06-16 01:00:00+00:00,74,82,low
2025-06-16 01:00:00+00:00,2025-06-16 01:30:00+00:00,74,78,low
2025-06-16 01:30:00+00:00,2025-06-16 02:00:00+00:00,75,77,low
2025-06-16 02:00:00+00:00,2025-06-16 02:30:00+00:00,79,83,low
2025-06-16 02:30:00+00:00,2025-06-16 03:00:00+00:00,79,90,low
2025-06-16 03:00:00+00:00,2025-06-16 03:30:00+00:00,80,91,low
2025-06-16 03:30:00+00:00,2025-06-16 04:00:00+00:00,86,95,low
2025-06-16 04:00:00+00:00,2025-06-16 04:30:00+00:00,87,106,moderate
2025-06-16 04:30:00+00:00,2025-06-16 05:00:00+00:00,95,116,moderate
2025-06-16 05:00:00+00:00,2025-06-16 05:30:00+00:00,106,125,moderate
2025-06-16 05:30:00+00:00,2025-06-16 06:00:00+00:00,124,128,moderate
2025-06-16 06:00:00+00:00,2025-06-16 06:30:00+00:00,133,128,moderate
2025-06-16 06:30:00+00:00,2025-06-16 07:00:00+00:00,130,130,moderate
2025-06-16 07:00:00+00:00,2025-06-16 07:30:00+00:00,131,125,moderate
2025-06-16 07:30:00+00:00,2025-06-16 08:00:00+00:00,126,122,moderate
2025-06-16 08:00:00+00:00,2025-06-16 08:30:00+00:00,117,114,moderate
2025-06-16 08:30:00+00:00,2025-06-16 09:00:00+00:00,107,111,moderate
2025-06-16 09:00:00+00:00,2025-06-16 09:30:00+00:00,109,106,moderate
2025-06-16 09:30:00+00:00,2025-06-16 10:00:00+00:00,98,102,moderate
2025-06-16 10:00:00+00:00,2025-06-16 10:30:00+00:00,101,94,low
2025-06-16 10:30:00+00:00,2025-06-16 11:00:00+00:00,99,87,low
2025-06-16 11:00:00+00:00,2025-06-16 11:30:00+00:00,92,81,low
2025-06-16 11:30:00+00:00,2025-06-16 12:00:00+00:00,85,74,low
2025-06-16 12:00:00+00:00,2025-06-16 12:30:00+00:00,78,67,low
2025-06-16 12:30:00+00:00,2025-06-16 13:00:00+00:00,71,65,low
2025-06-16 13:00:00+00:00,2025-06-16 13:30:00+00:00,64,64,low
2025-06-16 13:30:00+00:00,2025-06-16 14:00:00+00:00,64,64,low
2025-06-16 14:00:00+00:00,2025-06-16 14:30:00+00:00,62,63,low
2025-06-16 14:30:00+00:00,2025-06-16 15:00:00+00:00,61,67,low
2025-06-16 15:00:00+00:00,2025-06-16 15:30:00+00:00,60,74,low
2025-06-16 15:30:00+00:00,2025-06-16 16:00:00+00:00,61,80,low
2025-06-16 16:00:00+00:00,2025-06-16 16:30:00+00:00,71,92,low
2025-06-16 16:30:00+00:00,2025-06-16 17:00:00+00:00,80,111,moderate
2025-06-16 17:00:00+00:00,2025-06-16 17:30:00+00:00,95,121,moderate
2025-06-16 17:30:00+00:00,2025-06-16 18:00:00+00:00,109,129,moderate
2025-06-16 18:00:00+00:00,2025-06-16 18:30:00+00:00,120,134,moderate
2025-06-16 18:30:00+00:00,2025-06-16 19:00:00+00:00,118,132,moderate
